index,frecB,sentece1B,char1,sentence2B,char2,questionB,answerB,has_question,word_high,word_low
186,low,Esperemos que estas,19,ventanas aíslen del frío.,25,,,0,empresas,ventanas
187,low,Mientras las montañas,21,estén nevadas hará frío.,25,,,0,acciones,montañas
188,low,Se pueden ver las,17,imágenes en esta cámara.,25,,,0,regiones,imágenes
189,low,Hay tantas tarjetas que,23,no puedo elegir.,17,¿Hay muchas tarjetas?,SI,1,especies,tarjetas
190,low,No podremos terminar las,24,galletas esta tarde.,21,¿Van cortos de tiempo?,SI,1,imágenes,galletas
191,low,Hay suficientes corazones,25,solos en este mundo.,21,,,0,alimentos,corazones
192,low,Son demasiados los,18,empleados en la empresa.,25,,,0,jugadores,empleados
193,low,Este año los impuestos,22,han subido de nuevo.,21,,,0,objetivos,impuestos
194,low,Al parecer no todos los,23,intereses serán buenos.,23,,,0,políticos,intereses
195,low,Algunos de los teléfonos,24,no funcionan.,14,¿Todos están correctamente?,NO,1,productos,teléfonos
196,low,Deja que las emociones,22,fluyan contigo.,16,,,0,canciones,canciones
197,low,En el libro aparecen las,24,criaturas más raras.,20,,,0,fronteras,criaturas
198,low,Podremos ver diferentes,23,ocasiones para actuar.,23,,,0,funciones,ocasiones
199,low,El niño fue a por,17,pastillas para el abuelo.,25,¿Fue a por dulces?,NO,1,películas,pastillas
200,low,Esta semana tengo muchas ,25,reuniones por delante.,23,,,0,preguntas,reuniones
